CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
11,XX00028,20191026,0840,0640,0810,XMN,TIAS,M,6,295.4
11,XX00040,20191026,0930,0730,0900,NRT,TIAS,L,6,364.2
11,XX00056,20191026,1120,0920,1050,LAX,TIAS,L,6,543.6
11,XX00058,20191026,1125,0925,1055,FOC,TIAS,S,1,121
11,XX00078,20191026,1315,1115,1245,PEK,TIAS,M,11,249
11,XX00082,20191026,1335,1135,1305,SZX,TIAS,M,8,254
11,XX00093,20191026,1450,1250,1420,FUK,TIAS,S,6,134.6
11,XX00104,20191026,1620,1420,1550,MFM,TIAS,S,6,132
11,XX00115,20191026,1705,1505,1635,MNL,TIAS,S,2,0
11,XX00130,20191026,1735,1535,1705,SZX,TIAS,S,6,109
11,XX00138,20191026,1820,1620,1750,TXN,TIAS,S,8,133
11,XX00144,20191026,1930,1730,1900,SGN,TIAS,L,8,379.8
11,XX00158,20191026,2110,1910,2040,BKK,TIAS,L,6,331.6
11,XX00170,20191026,2350,2150,2320,CDG,TIAS,L,8,429.7
12,XX00174,20191026,0020,2220,2350,AMS,TIAS,S,1,50.7
12,XX00169,20191026,2350,2150,2320,LAX,TIAS,L,11,603
2,XX00003,20191026,0640,0440,0610,KUL,TIAS,M,1,285.4
2,XX00005,20191026,0650,0450,0620,CGQ,TIAS,S,8,119
2,XX00027,20191026,0835,0635,0805,CTS,TIAS,L,8,383.8
2,XX00035,20191026,0900,0700,0830,CGK,TIAS,L,1,340.8
2,XX00043,20191026,0955,0755,0925,SIN,TIAS,L,7,341.4
2,XX00061,20191026,1145,0945,1115,CGO,TIAS,S,8,57
2,XX00070,20191026,1230,1030,1200,KIX,TIAS,S,8,153
2,XX00075,20191026,1250,1050,1220,KIX,TIAS,S,7,148
2,XX00085,20191026,1410,1210,1340,HKG,TIAS,S,6,132.8
2,XX00092,20191026,1450,1250,1420,FSZ,TIAS,S,5,93.2
2,XX00095,20191026,1515,1315,1445,ICN,TIAS,L,2,311.6
2,XX00103,20191026,1620,1420,1550,NRT,TIAS,S,1,153.8
2,XX00106,20191026,1625,1425,1555,SZX,TIAS,L,8,324
2,XX00131,20191026,1740,1540,1710,KIX,TIAS,S,6,132.2
2,XX00139,20191026,1820,1620,1750,NNG,TIAS,S,8,131
2,XX00150,20191026,1950,1750,1920,YNT,TIAS,S,4,125
2,XX00159,20191026,2150,1950,2120,HKG,TIAS,S,6,150.6
2,XX00164,20191026,2330,2130,2300,SYD,TIAS,L,8,462.4
2,XX00166,20191026,2340,2140,2310,SEA,TIAS,L,7,635.4
3,XX00011,20191026,0720,0520,0650,SGN,TIAS,L,9,568
3,XX00013,20191026,0740,0540,0710,SYD,TIAS,L,9,426.8
3,XX00023,20191026,0815,0615,0745,KOJ,TIAS,S,5,68.8
3,XX00036,20191026,0900,0700,0830,PVG,TIAS,M,1,280.6
3,XX00044,20191026,1000,0800,0930,MFM,TIAS,S,6,191.6
3,XX00068,20191026,1215,1015,1145,TYN,TIAS,S,10,102
3,XX00072,20191026,1230,1030,1200,HRB,TIAS,S,8,107
3,XX00081,20191026,1325,1125,1255,CGO,TIAS,S,5,197.6
3,XX00099,20191026,1530,1330,1500,MNL,TIAS,L,2,360.6
3,XX00102,20191026,1605,1405,1535,WUX,TIAS,L,2,301.8
3,XX00120,20191026,1720,1520,1650,OKA,TIAS,S,1,190
3,XX00122,20191026,1720,1520,1650,HIJ,TIAS,S,5,184.4
3,XX00127,20191026,1730,1530,1700,WUX,TIAS,S,10,59
3,XX00140,20191026,1840,1640,1810,PVG,TIAS,S,10,172
3,XX00147,20191026,1940,1740,1910,PEK,TIAS,S,2,140
3,XX00156,20191026,2025,1825,1955,DLC,TIAS,S,8,121
3,XX00160,20191026,2210,2010,2140,IAH,TIAS,L,8,592.2
3,XX00167,20191026,2340,2140,2310,SFO,TIAS,L,11,612
4,XX00007,20191026,0655,0455,0625,OKA,TIAS,S,6,176
4,XX00018,20191026,0810,0610,0740,CTU,TIAS,S,9,89.8
4,XX00037,20191026,0910,0710,0840,MNL,TIAS,L,10,580.6
4,XX00039,20191026,0915,0715,0845,HAN,TIAS,S,9,182.8
4,XX00049,20191026,1015,0815,0945,HRB,TIAS,S,2,139
4,XX00060,20191026,1135,0935,1105,SFO,TIAS,L,9,644.4
4,XX00067,20191026,1210,1010,1140,KWE,TIAS,S,2,0
4,XX00079,20191026,1315,1115,1245,PUS,TIAS,M,8,208
4,XX00094,20191026,1500,1300,1430,PVG,TIAS,M,10,209
4,XX00096,20191026,1520,1320,1450,PEK,TIAS,M,8,289.8
4,XX00107,20191026,1630,1430,1600,PVG,TIAS,L,8,338
4,XX00111,20191026,1645,1445,1615,PVG,TIAS,M,5,257
4,XX00116,20191026,1710,1510,1640,SFO,TIAS,L,9,532.8
4,XX00128,20191026,1730,1530,1700,HKG,TIAS,M,7,216.8
4,XX00141,20191026,1920,1720,1850,LAX,TIAS,L,6,563.4
4,XX00142,20191026,1920,1720,1850,CKG,TIAS,S,11,102
4,XX00154,20191026,2020,1820,1950,SJW,TIAS,S,2,0
4,XX00168,20191026,2345,2145,2315,BNE,TIAS,L,8,450.9
5,XX00004,20191026,0650,0450,0620,FUK,TIAS,S,11,196.4
5,XX00012,20191026,0735,0535,0705,BKK,TIAS,L,10,539
5,XX00020,20191026,0810,0610,0740,KIX,TIAS,S,2,0
5,XX00033,20191026,0855,0655,0825,KIX,TIAS,S,7,128
5,XX00052,20191026,1025,0825,0955,SWA,TIAS,S,7,58
5,XX00053,20191026,1055,0855,1025,PVG,TIAS,M,1,252
5,XX00065,20191026,1200,1000,1130,HFE,TIAS,S,10,139
5,XX00069,20191026,1225,1025,1155,NRT,TIAS,L,3,338
5,XX00083,20191026,1410,1210,1340,ICN,TIAS,L,9,399
5,XX00101,20191026,1545,1345,1515,NGO,TIAS,S,7,124
5,XX00117,20191026,1710,1510,1640,PVG,TIAS,S,8,157
5,XX00123,20191026,1720,1520,1650,SHE,TIAS,S,6,124
5,XX00129,20191026,1735,1535,1705,SIN,TIAS,M,7,249
5,XX00149,20191026,1950,1750,1920,SFO,TIAS,L,6,676.8
5,XX00161,20191026,2215,2015,2145,IST,TIAS,L,9,374.4
5,XX00163,20191026,2330,2130,2300,SFO,TIAS,L,6,660.6
6,XX00002,20191026,0630,0430,0600,KIX,TIAS,S,1,180.2
6,XX00026,20191026,0830,0630,0800,KIX,TIAS,M,3,222.8
6,XX00041,20191026,0930,0730,0900,CTS,TIAS,M,3,270.6
6,XX00050,20191026,1015,0815,0945,SDJ,TIAS,S,8,151.2
6,XX00055,20191026,1115,0915,1045,NGB,TIAS,S,10,139
6,XX00066,20191026,1205,1005,1135,WUX,TIAS,S,6,126
6,XX00088,20191026,1435,1235,1405,CAN,TIAS,M,8,268
6,XX00110,20191026,1635,1435,1605,ICN,TIAS,M,9,250
6,XX00125,20191026,1725,1525,1655,NKG,TIAS,S,10,173
6,XX00126,20191026,1730,1530,1700,JFK,TIAS,L,3,604.8
6,XX00173,20191026,2355,2155,2325,YVR,TIAS,L,10,464.4
7,XX00176,20191026,0310,0110,0240,PUS,TIAS,M,1,219
7,XX00006,20191026,0655,0455,0625,SYX,TIAS,S,11,99.4
7,XX00016,20191026,0800,0600,0730,TOY,TIAS,S,8,163
7,XX00017,20191026,0810,0610,0740,CAN,TIAS,S,10,198.2
7,XX00029,20191026,0845,0645,0815,PNH,TIAS,M,1,237.4
7,XX00045,20191026,1000,0800,0930,DPS,TIAS,S,2,192.4
7,XX00047,20191026,1005,0805,0935,PVG,TIAS,L,7,333.2
7,XX00073,20191026,1230,1030,1200,SZX,TIAS,S,6,122
7,XX00100,20191026,1535,1335,1505,PEK,TIAS,M,1,277.8
7,XX00113,20191026,1645,1445,1615,TAO,TIAS,S,4,125
7,XX00124,20191026,1725,1525,1655,KIX,TIAS,M,3,246.2
7,XX00135,20191026,1750,1550,1720,NGB,TIAS,S,2,0
7,XX00146,20191026,1940,1740,1910,YYZ,TIAS,L,8,568.8
7,XX00172,20191026,2355,2155,2325,LAX,TIAS,L,6,543.6
8,XX00019,20191026,0810,0610,0740,HKG,TIAS,S,6,160.4
8,XX00021,20191026,0810,0610,0740,FUK,TIAS,S,3,173.8
8,XX00031,20191026,0850,0650,0820,BKK,TIAS,L,9,385.4
8,XX00042,20191026,0950,0750,0920,KIX,TIAS,L,5,349.8
8,XX00054,20191026,1105,0905,1035,HKD,TIAS,S,8,138
8,XX00062,20191026,1155,0955,1125,HKG,TIAS,M,7,217.6
8,XX00071,20191026,1230,1030,1200,HGH,TIAS,S,11,142
8,XX00077,20191026,1300,1100,1230,ICN,TIAS,S,9,0
8,XX00086,20191026,1420,1220,1350,KIX,TIAS,M,6,226
8,XX00097,20191026,1520,1320,1450,SZX,TIAS,L,3,307.8
8,XX00105,20191026,1625,1425,1555,HGH,TIAS,M,8,228.6
8,XX00112,20191026,1645,1445,1615,NGB,TIAS,S,8,96.2
8,XX00133,20191026,1745,1545,1715,KWL,TIAS,S,8,103
8,XX00143,20191026,1925,1725,1855,JJN,TIAS,S,1,153
8,XX00152,20191026,2000,1800,1930,HKG,TIAS,M,2,232
8,XX00162,20191026,2320,2120,2250,MEL,TIAS,L,8,446.6
8,XX00165,20191026,2330,2130,2300,HNL,TIAS,M,10,298.8
9,XX00175,20191026,0230,0030,0200,TAE,TIAS,S,1,0
9,XX00001,20191026,0620,0420,0550,CTS,TIAS,S,1,182
9,XX00010,20191026,0710,0510,0640,CEB,TIAS,M,3,248.2
9,XX00022,20191026,0815,0615,0745,OKA,TIAS,M,1,201
9,XX00032,20191026,0850,0650,0820,NRT,TIAS,L,3,312.4
9,XX00046,20191026,1000,0800,0930,NRT,TIAS,M,7,251
9,XX00059,20191026,1130,0930,1100,SFO,TIAS,L,6,590.4
9,XX00074,20191026,1240,1040,1210,HKG,TIAS,S,6,141.2
9,XX00080,20191026,1320,1120,1250,NRT,TIAS,S,7,142
9,XX00091,20191026,1445,1245,1415,MFM,TIAS,S,6,111.2
9,XX00098,20191026,1520,1320,1450,NRT,TIAS,S,2,168.6
9,XX00108,20191026,1630,1430,1600,FUK,TIAS,L,9,402.6
9,XX00132,20191026,1745,1545,1715,WNZ,TIAS,S,11,124
9,XX00137,20191026,1810,1610,1740,HKG,TIAS,M,6,268.2
9,XX00145,20191026,1930,1730,1900,JFK,TIAS,L,8,608.4
9,XX00157,20191026,2030,1830,2000,MNL,TIAS,L,8,319.4
